01/610134,Serpentine Car Park,W2,51.50501351,-0.172729559,17
09/610944,Concert Hall Approach,SE1,51.50505707,-0.115820307,33
09/610946,Waterloo Bridge,SE1,51.50535447,-0.113656543,16
08/610825,Colombo Street,SE1,51.50545935,-0.10569204,18
09/610921,Stamford Street,SE1,51.50556905,-0.111606696,29
01/615071,Pall Mall,SW1,51.50573451,-0.136707453,30
08/610812,Southwark Street (Bankside 1),SE1,51.50581776,-0.100186337,34
08/610803,Park Street,SE1,51.50597426,-0.092754157,18
09/610901,Belvedere Road,SE1,51.50613324,-0.114686385,39
01/610133,Triangle Car Park,W2,51.50645179,-0.170279555,27
01/615122,Whitehall Place,WC2,51.50654321,-0.123179697,47
12/611215,Campden Hill Road,W8,51.50658458,-0.199004026,19
01/615107,Waterloo Place,SW1,51.50663341,-0.131773845,21
05/610524 ,Tower Bridge,E1,51.50667819,-0.07448954,37
08/610801,Southwark Street Rail Bridge,SE1,51.50669284,-0.103137426,40
01/615082,Stanhope Gate,W1,51.50686435,-0.150666888,24
01/615103,Northumberland Avenue,WC2,51.50689829,-0.124065447,37
01/615062,Curzon Street,W1,51.50706909,-0.145904427,19
08/610811,Milroy Walk,SE1,51.50724437,-0.106237501,33
08/610802,Emerson Street,SE1,51.5073853,-0.096440751,19
01/615054,St. James's Square,SW1,51.50742485,-0.134621209,42
01/615105,Pall Mall East,SW1,51.50777049,-0.130699733,23
01/615100,Craven Street,WC2,51.50810309,-0.12602103,30
08/610868,Hopton Street,SE1,51.50810485,-0.102625428,21
05/610504,Thomas More Square,E1,51.5084448,-0.067176443,26
01/615108,Charles II Street,SW1,51.50844614,-0.131961389,25
12/611214,Palace Gardens Terrace,W8,51.50860544,-0.193764092,26
01/615106,St. Martin's Street,WC2,51.50908747,-0.129697889,18
01/615057,South Audley Street,W1,51.50923022,-0.151296092,22
00/610006,Lower Thames Street,EC3,51.50930161,-0.084985356,25
01/615080,Farm Street,W1,51.50935171,-0.14744969,22
12/611212,Notting Hill Gate LU,W2,51.50935879,-0.196396821,17
01/615095,William IV Street,WC2,51.50946212,-0.124749274,27
05/610519,Tower Gardens,EC3,51.50950627,-0.075459482,24
01/610102,Embankment (Savoy),WC2,51.50963123,-0.119047563,45
01/615125,Panton Street,SW1,51.50963938,-0.131510949,23
12/611263,Black Lion Gate,W2,51.50990837,-0.187842717,24
01/615073,Grafton Street,W1,51.5099923,-0.143495266,18
01/610117,Park Lane,W1,51.5100172,-0.157275636,31
01/615236,Sackville Street,W1,51.51004801,-0.138846453,19
01/615059,Upper Grosvenor Street,W1,51.51013066,-0.155757901,18
00/610033,Great Tower Street,EC3,51.51048489,-0.082989638,25
01/615064,Clifford Street,W1,51.51066202,-0.142345694,31
01/615096,Southampton Street,WC2,51.51070161,-0.121723604,17
01/615074,Bruton Street,W1,51.51073687,-0.144165239,21
12/611209,Pembridge Road,W11,51.51108452,-0.197524944,22
00/610053,Victoria Embankment,EC4,51.51115686,-0.107457888,20
00/610023,Queen Street,EC4,51.51155322,-0.0929401,31
00/610034,Crosswall,EC3,51.51159481,-0.077121322,44
01/615121,St. Martin's Lane,WC2,51.51160161,-0.127083998,16
01/615124,Little Newport Street,WC2,51.51167857,-0.128710646,20
01/615094,Wellington Street,WC2,51.51175646,-0.119643424,17
01/615183,Bayswater Road,W2,51.51183419,-0.174292825,26
01/615112,Golden Square,W1,51.5118973,-0.137043852,18
01/615063,St. George Street,W1,51.51196,-0.142783033,19
00/610022,Queen Victoria Street,EC4,51.51196176,-0.097441687,39
01/615127,Tavistock Street,WC2,51.51196803,-0.120718759,46
01/615083,Milford Lane,WC2,51.51201016,-0.112988179,19
01/610139,Cumberland Gate,W2,51.51211869,-0.16209757,20
12/611208,Chepstow Villas,W11,51.51213691,-0.201554966,27
01/615056,Grosvenor Square,W1,51.51217033,-0.150481272,17
01/610140,Speaker's Corner,W2,51.51220724,-0.160667395,48
01/615068,Green Street,W1,51.51227622,-0.157436972,20
05/610512,Leman Street,E1,51.51236389,-0.06954201,19
00/610010,Godliman Street,EC4,51.51248445,-0.099141408,25
01/615120,Wardour Street,W1,51.51251523,-0.133201961,16
01/615085,Strand,WC2,51.51253415,-0.115140555,40
01/615067,North Audley Street,W1,51.5129118,-0.153645496,19
01/615118,Frith Street,W1,51.51310333,-0.13121385,19
00/610047,Jewry Street,EC3N,51.51340693,-0.076793375,19
01/615180,Princes Square,W2,51.5134891,-0.191351186,16
01/615110,Moor Street,W1,51.51352755,-0.130110822,16
01/615133,Houghton Street,WC2,51.51362054,-0.116764211,19
01/615113,Broadwick Street,W1,51.5136846,-0.135580879,19
01/615219,Craven Road,W2,51.51373193,-0.179073836,16
00/610009,Bouverie Street,EC4Y,51.51382102,-0.107927706,18
00/610024,Cheapside,EC2,51.51389139,-0.093117578,28
01/615078,Woodstock Street,W1,51.51410514,-0.147301667,21
00/610013,Ave Maria Lane,EC4,51.51415653,-0.100811954,19
00/610046,St. Mary Axe,EC3R,51.51422502,-0.080660083,21
05/610501,Braham Street,E1,51.51423368,-0.073537654,36
12/611207,Turquoise Island,W11,51.51431171,-0.200838199,21
01/615089,Kingsway,WC2,51.51440928,-0.118478757,17
00/610045,Bank of England Museum,EC2N,51.51444134,-0.087587447,16
01/615178,Cleveland Square,W2,51.51446112,-0.182017881,16
01/615206,Little Argyll Street,W1,51.51449962,-0.141423695,21
01/615028,Old Quebec Street,W1,51.51457763,-0.158264483,16
01/615116,Great Marlborough Street,W1,51.51461995,-0.137841333,29
01/615176,Porchester Place,W2,51.51474612,-0.165164288,20
01/615030,Marylebone Lane,W1,51.51475963,-0.148105415,24
01/615181,Whiteley's,W2,51.51476963,-0.188129731,17
02/610229,Drury Lane,WC2,51.51477076,-0.12221963,27
05/610502,LMU Commercial Road,E1,51.51492456,-0.066078037,20
01/615225,Portugal Street,WC2,51.51494305,-0.11614642,16
01/615086,Carey Street,WC2,51.51501025,-0.112753217,18
01/615032,Chapel Place,W1,51.51530805,-0.147203711,32
00/610014,Newgate Street,EC4,51.5154186,-0.098850915,36
01/615224,Westbourne Grove,W2,51.51552971,-0.190240716,27
01/615233,Cleveland Gardens,W2,51.515607,-0.183118788,17
01/615111,Soho Square,W1,51.51563144,-0.132328837,37
00/610025,The Guildhall,EC2,51.51573534,-0.093080779,17
00/610012,Stonecutter Street,EC4,51.51580998,-0.105270275,22
00/610040,Chancery Lane,WC2A,51.51593725,-0.111778348,24
01/615177,Southwick Street,W2,51.51595344,-0.169249375,18
02/610234,Earnshaw Street,WC2,51.51611887,-0.128585022,18
00/610038,Wormwood Street,EC2,51.51615461,-0.082422399,21
01/615220,Eastbourne Mews,W2,51.51641749,-0.179135079,36
02/610230,High Holborn,WC1,51.51643491,-0.124332175,18
00/610030,Devonshire Square,EC2,51.51646835,-0.079684557,20
01/615200,Nutford Place,W1,51.5165179,-0.164393768,18
01/615173,Winsland Street,W2,51.51678023,-0.175488803,18
01/615031,Hinde Street,W1,51.51681444,-0.151926305,21
05/610513,Whitechapel Road,E1,51.51681603,-0.067827542,16
01/615213,George Street,W1,51.51689296,-0.158249929,16
00/610026,Wood Street,EC2,51.51700801,-0.09388536,20
00/610020,Finsbury Circus,EC2,51.51707521,-0.086685542,34
00/610054,Snow Hill,EC1,51.51733427,-0.103604248,16
01/615174,South Wharf Road,W2,51.51733558,-0.175810943,16
01/615036,Wells Street,W1,51.51734403,-0.138072691,40
00/610051,Southampton Buildings,WC2,51.51750059,-0.112381322,22
02/610276,Southampton Place,WC1,51.51760685,-0.121328408,22
02/610277,Great Russell Street,WC1,51.51772703,-0.127854211,27
00/610018,Museum of London,EC2,51.51782144,-0.096496865,53
01/615223,Gloucester Terrace,W2,51.51791921,-0.188098863,24
00/610056,Fore Street Avenue,EC2,51.51791977,-0.090425216,28
01/615222,Orsett Terrace,W2,51.517932,-0.183716959,16
02/610224,Holborn Circus,EC1,51.51795029,-0.108657431,40
01/615023,Broadcasting House,W1,51.51811784,-0.144228881,20
05/610518,New Road,E1,51.51814983,-0.062650328,72
01/615040,Rathbone Street,W1,51.51816295,-0.135025698,16
00/610007,West Smithfield Rotunda,EC1,51.51821864,-0.100791005,29
05/610515,Whitechapel Market,E1,51.51830997,-0.063782077,17
05/610523,Fashion Street,E1,51.51838043,-0.073438925,33
02/610215,Bayley Street,W1,51.51858757,-0.132053392,25
01/615175,North Wharf Road,W2,51.51862243,-0.176645823,25
02/610249,Hatton Garden,EC1,51.51882555,-0.108028472,31
01/615046,Baker Street,W1,51.51891348,-0.156166631,25
05/610531,Brushfield Street,E1,51.51898375,-0.078992536,23
05/610517,Royal London Hospital,E1,51.51906446,-0.059642081,17
00/610019,Moorfields,EC2,51.51906932,-0.088285377,31
02/610248,British Museum,WC1,51.51908011,-0.124678402,37
01/615038,Foley Street,W1,51.51918144,-0.140485596,26
02/610225,Red Lion Square,WC1,51.51943538,-0.119123345,16
02/610216,Charlotte Street,W1,51.51953043,-0.13577731,17
02/610217,Scala Street,W1,51.51991453,-0.136039674,27
01/610151,Paddington Green Police Sta,W2,51.51994326,-0.170704337,40
01/615197,Edgware Road LU,NW1,51.51997753,-0.169644824,66
04/610421,Sun Street,EC2,51.52001715,-0.083911168,29
00/610052,Silk Street,EC2,51.52004497,-0.092176447,24
01/615226,Great Titchfield Street,W1,51.52025302,-0.141327271,19
01/615050,Crawford Street,W1,51.52026,-0.157183945,18
01/615049,Seymour Place,W1,51.52033378,-0.163642582,35
01/615051,Paddington Street,W1,51.52058381,-0.154701411,16
02/610226,Theobalds Road,WC1,51.52059681,-0.116688468,27
01/615041,Portland Place,W1,51.52071513,-0.14521173,33
00/610029,Aldersgate Street,EC1,51.5208417,-0.097340162,21
03/610328,Chiswell Street,EC1,51.52085887,-0.089887855,33
